Panal,Module,Item_Format,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55,theta_56,theta_57,theta_58,theta_59,theta_60
assignPanal2,Core_Stage,1,0.3,0.348,0.401,0.463,0.536,0.62,0.716,0.8280000000000001,0.957,1.1059999999999999,1.276,1.4700000000000002,1.6909999999999998,1.937,2.21,2.508,2.8280000000000003,3.16,3.496,3.8240000000000003,4.13,4.398,4.619,4.7829999999999995,4.884,4.926,4.909,4.84,4.7250000000000005,4.569,4.38,4.163,3.923,3.667,3.403,3.133,2.864,2.6020000000000003,2.349,2.109,1.884,1.676,1.4849999999999999,1.311,1.154,1.0130000000000001,0.887,0.776,0.6759999999999999,0.589,0.513,0.446,0.387,0.337,0.292,0.253,0.22000000000000003,0.19,0.16499999999999998,0.143,0.124
assignPanal2,Core_Stage,total,0.326,0.376,0.435,0.503,0.581,0.6719999999999999,0.7769999999999999,0.898,1.038,1.1989999999999998,1.383,1.5939999999999999,1.833,2.101,2.397,2.723,3.0730000000000004,3.44,3.815,4.186,4.539,4.859,5.1370000000000005,5.362,5.529999999999999,5.641,5.696,5.702,5.662,5.582,5.465,5.317,5.142,4.944,4.729,4.4990000000000006,4.2620000000000005,4.019,3.7750000000000004,3.5330000000000004,3.295,3.064,2.84,2.6239999999999997,2.417,2.22,2.032,1.855,1.6869999999999998,1.529,1.3820000000000001,1.245,1.1179999999999999,1.001,0.894,0.796,0.707,0.626,0.554,0.489,0.43
assignPanal2,Stage_1H,1,0.241,0.276,0.318,0.364,0.41800000000000004,0.481,0.5529999999999999,0.635,0.73,0.841,0.967,1.111,1.276,1.4649999999999999,1.68,1.923,2.199,2.508,2.851,3.229,3.64,4.079000000000001,4.541,5.015000000000001,5.484999999999999,5.938,6.356,6.720000000000001,7.018,7.2379999999999995,7.378,7.433,7.411,7.319000000000001,7.162000000000001,6.954,6.702,6.414,6.096,5.757,5.401,5.0329999999999995,4.66,4.285,3.915,3.555,3.206,2.877,2.569,2.282,2.018,1.779,1.564,1.371,1.199,1.0470000000000002,0.913,0.796,0.692,0.603,0.525
assignPanal2,Stage_1H,total,0.30400000000000005,0.349,0.402,0.461,0.531,0.61,0.702,0.807,0.9279999999999999,1.069,1.228,1.4100000000000001,1.619,1.857,2.128,2.433,2.776,3.163,3.5889999999999995,4.058,4.569,5.114,5.689,6.28,6.872,7.4479999999999995,7.986,8.47,8.882,9.207999999999998,9.442,9.579999999999998,9.625,9.585,9.466000000000001,9.278,9.030999999999999,8.733,8.392,8.017,7.612,7.185,6.74,6.286,5.828,5.371,4.922000000000001,4.487,4.069,3.6719999999999997,3.3,2.952,2.633,2.339,2.0709999999999997,1.8299999999999998,1.612,1.419,1.245,1.092,0.956
assignPanal2,Stage_1L,1,0.645,0.7949999999999999,0.978,1.201,1.47,1.7959999999999998,2.183,2.642,3.178,3.798,4.504,5.293,6.162,7.103,8.097999999999999,9.126,10.155000000000001,11.147,12.046,12.789,13.31,13.552,13.483,13.107,12.462,11.613,10.635,9.602,8.574,7.5920000000000005,6.682,5.854,5.11,4.4479999999999995,3.8609999999999998,3.34,2.879,2.474,2.117,1.803,1.53,1.295,1.09,0.9159999999999999,0.768,0.642,0.536,0.446,0.371,0.309,0.255,0.212,0.176,0.146,0.121,0.10099999999999999,0.084,0.069,0.056999999999999995,0.047,0.039
assignPanal2,Stage_1L,total,0.6950000000000001,0.857,1.0539999999999998,1.293,1.585,1.935,2.354,2.852,3.4379999999999997,4.115,4.891,5.769,6.743,7.808,8.953,10.158999999999999,11.395,12.626000000000001,13.796,14.841999999999999,15.693,16.283,16.572,16.546,16.23,15.668000000000001,14.92,14.039,13.078,12.069,11.039,10.009,8.996,8.013,7.074,6.191,5.373,4.6259999999999994,3.955,3.359,2.837,2.385,1.9969999999999999,1.666,1.3860000000000001,1.151,0.9530000000000001,0.7889999999999999,0.652,0.5389999999999999,0.44499999999999995,0.367,0.303,0.251,0.20700000000000002,0.17,0.14,0.11699999999999999,0.096,0.08,0.065
assignPanal2,Stage_2H,1,0.262,0.29400000000000004,0.32799999999999996,0.367,0.41100000000000003,0.459,0.514,0.575,0.643,0.718,0.801,0.8919999999999999,0.9930000000000001,1.102,1.221,1.349,1.485,1.629,1.7810000000000001,1.94,2.1029999999999998,2.27,2.439,2.609,2.776,2.941,3.1,3.2510000000000003,3.392,3.521,3.636,3.734,3.813,3.87,3.906,3.9160000000000004,3.904,3.867,3.8070000000000004,3.7279999999999998,3.628,3.511,3.379,3.232,3.0709999999999997,2.901,2.722,2.536,2.348,2.159,1.974,1.794,1.624,1.4620000000000002,1.313,1.175,1.049,0.937,0.8340000000000001,0.743,0.662
assignPanal2,Stage_2H,total,0.32399999999999995,0.363,0.406,0.454,0.509,0.5700000000000001,0.639,0.7150000000000001,0.8,0.896,1.002,1.121,1.251,1.395,1.553,1.724,1.911,2.112,2.329,2.559,2.8040000000000003,3.061,3.329,3.606,3.8899999999999997,4.178,4.463,4.745,5.015000000000001,5.268,5.497,5.696,5.857,5.978,6.055,6.085,6.07,6.0120000000000005,5.912,5.774,5.602,5.398,5.167,4.912,4.638,4.349,4.049,3.743,3.4370000000000003,3.136,2.8449999999999998,2.567,2.306,2.063,1.84,1.6360000000000001,1.4529999999999998,1.289,1.142,1.013,0.897
assignPanal2,Stage_2L,1,0.262,0.312,0.372,0.442,0.527,0.626,0.744,0.885,1.051,1.2469999999999999,1.476,1.7439999999999998,2.056,2.416,2.8280000000000003,3.295,3.815,4.387,5.002000000000001,5.646,6.2989999999999995,6.9350000000000005,7.5249999999999995,8.036999999999999,8.442,8.722,8.867,8.879,8.769,8.557,8.265,7.913,7.519,7.096,6.651999999999999,6.194,5.727,5.255000000000001,4.782,4.315,3.859,3.421,3.008,2.624,2.271,1.954,1.67,1.4209999999999998,1.204,1.017,0.857,0.719,0.603,0.505,0.422,0.353,0.29500000000000004,0.246,0.20600000000000002,0.172,0.14400000000000002
assignPanal2,Stage_2L,total,0.28200000000000003,0.335,0.399,0.47500000000000003,0.565,0.6719999999999999,0.8,0.9500000000000001,1.1280000000000001,1.338,1.585,1.872,2.208,2.596,3.0410000000000004,3.545,4.11,4.732,5.407,6.118,6.848,7.571,8.257,8.876000000000001,9.398,9.800999999999998,10.074,10.216999999999999,10.237,10.149000000000001,9.968,9.713000000000001,9.394,9.021,8.602,8.142,7.647,7.125,6.585,6.036,5.4879999999999995,4.955,4.442,3.958,3.5090000000000003,3.097,2.724,2.39,2.091,1.8250000000000002,1.592,1.3860000000000001,1.205,1.046,0.907,0.787,0.681,0.589,0.509,0.439,0.379
