Item Set,Item Format 3,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55,theta_56,theta_57,theta_58,theta_59,theta_60
C1.1,0,0.0041931916625719675,0.005402775771010215,0.006960524948260256,0.008966155441933986,0.011547613472534484,0.014868849930375974,0.019139592344589118,0.024627530520655163,0.03167335088950749,0.040709016546361824,0.052279543368235,0.06706818332549928,0.08592426305949266,0.10989174479202106,0.14023460905886875,0.17845207148667092,0.22627210677256615,0.28560561547379254,0.3584362715081244,0.44661437460531817,0.5515210048170912,0.6735789324439588,0.8116198286929976,0.9621836912602179,1.1189258976422198,1.2724128656027243,1.4106320466152242,1.5204335870913013,1.5898064167523427,1.6104514513050778,1.5797930487413065,1.5016386311077392,1.3852093721896694,1.24294626780182,1.0879335350971322,0.9317586645523029,0.78325953835953,0.6481788021272583,0.5294708032711447,0.42793499466336277,0.34291352050096546,0.27289905409312276,0.21599295697409485,0.17021311098037673,0.13367841633089417,0.10470393283730002,0.08183721441101466,0.06385932477592336,0.04976686976863693,0.03874555104944041,0.030141514761101128,0.02343393016686028,0.01821044561262758,0.01414610914393922,0.010985755068476894,0.008529565142093243,0.006621393320235226,0.005139419431023742,0.003988722826033038,0.0030954145774163,0.002402020767100884
C1.1,1,0.19380040827205533,0.21680433510006686,0.2427539704991852,0.2720322144024456,0.3050631164505322,0.34231161691165124,0.38428093546090425,0.43150660502078253,0.4845459084954824,0.5439612466671349,0.6102957930083679,0.6840397498096655,0.7655857154504401,0.8551722409043796,0.9528157482613991,1.0582327441573476,1.1707567526066562,1.2892575225218075,1.4120734844391813,1.5369714497913938,1.6611491382131622,1.781295073724848,1.8937156685928156,1.9945305596504599,2.0799253180074935,2.146437776918212,2.1912437349358522,2.2124030881196015,2.209030677849897,2.1813671827624574,2.130741671015146,2.0594348478302784,1.9704664229005966,1.8673385510030998,1.7537691074360306,1.6334445627855814,1.5098143928064764,1.385939541809797,1.2643983910487753,1.1472463135051971,1.0360199094237783,0.9317745108451043,0.8351431793034079,0.7464066101495768,0.6655654431259073,0.5924088783255006,0.5265757793044114,0.4676063549726197,0.4149839454737536,0.36816740037710516,0.3266150992726267,0.28980191995346005,0.25723050251981133,0.22843806984430637,0.2029999077917282,0.18053042551080298,0.16068253433164278,0.14314591865461107,0.12764463073015409,0.11393432511581789,0.10179935649035399
C1.2,1,0.13041755724100434,0.1514268699831781,0.17569589425750473,0.2036749536331179,0.23585491291785338,0.27276237088189326,0.3149508552938737,0.3629868480470966,0.4174294226824349,0.47880239857622203,0.5475583048499091,0.6240342129188453,0.7084007327882136,0.8006072013239894,0.9003282099508474,1.0069187991005342,1.1193872997563639,1.236395119578701,1.3562909119604958,1.4771820201621357,1.5970391266007191,1.713822042917162,1.8256079609708067,1.930700990145537,2.027705310377412,2.115553613281942,2.193495037411487,2.2610581053359398,2.3180097309672596,2.364328483433064,2.400199297086708,2.4260211467733583,2.442404447265371,2.450127208695399,2.450023143645114,2.4427928955242084,2.4287590500684693,2.407619505282127,2.378280658791938,2.3388580203666756,2.2869058387705934,2.2198769335362645,2.1357329053473917,2.033553668845005,1.9139698513303505,1.779283039855097,1.633235866730333,1.4805047914243739,1.326064372892896,1.174585403971903,1.0299867969094572,0.8951923380635063,0.7720804872543541,0.6615770728890983,0.5638294420383838,0.4784084084036605,0.4045006920079528,0.3410713948589984,0.28698921248047093,0.2411154691401359,0.20236234539639159
C1.3,1,0.1008884592593215,0.11523270146737699,0.1315487229946237,0.1500839350541035,0.1711093886624288,0.19491978460675927,0.22183269124727373,0.25218673192304275,0.2863384743097847,0.32465773195764885,0.36752097749601975,0.4153025712910928,0.46836353076230997,0.5270376032063139,0.5916144538087884,0.6623198314386064,0.7392926174068579,0.8225586921544892,0.912001586109601,1.0073299642308085,1.1080422320598016,1.213389102929112,1.3223360159773168,1.4335289729496483,1.5452696067905611,1.65550769101243,1.7618609750507925,1.8616719564714286,1.9521077936751683,2.0303025911220187,2.093531789348163,2.1393990807317844,2.1660107744997346,2.1721136638980023,2.157180376228304,2.1214378179814304,2.065844688272213,1.9920290783457473,1.9021961836532078,1.7990119785684713,1.6854656435707214,1.5647144144922869,1.4399190241452047,1.314083142561921,1.1899128501398846,1.0697104228147567,0.9553110843606198,0.8480640114056259,0.7488521788844953,0.6581412511508284,0.5760461434521967,0.502404647693601,0.4368497280679071,0.37887482604380074,0.32788909199698807,0.2832615128289737,0.244354319599203,0.21054688905861413,0.1812517269598195,0.1559241830926444,0.13406742366281454
C1.4,1,0.10199035414745111,0.11496673089192214,0.12967655521387014,0.14634414353717268,0.16521493430717007,0.1865537264925639,0.21064096765588003,0.23776637026482195,0.26821900208662425,0.3022729025201,0.34016727157071225,0.38208043403504727,0.42809719185520195,0.4781699473634081,0.5320751998553983,0.5893687171496381,0.649344762342168,0.7110069054755777,0.7730595980875343,0.8339300223767013,0.8918278572083995,0.9448459063507335,0.9910971079099707,1.0288744896462676,1.0568124781866484,1.074023488830392,1.0801852355195334,1.0755622675855414,1.0609580585077352,1.0376078569598937,1.0070333401670706,0.9708850049235507,0.9307965800957523,0.8882691110143456,0.8445935071398716,0.8008119725043453,0.7577126489214961,0.715848611595005,0.6755717417040521,0.6370731484660439,0.6004238379027361,0.5656115209656041,0.5325713811820768,0.5012100861686867,0.4714233033252586,0.44310753691365906,0.41616734610402023,0.39051903543999555,0.3660918166734337,0.3428272873731755,0.3206778993053734,0.2996049237002153,0.27957627450238254,0.2605644299413643,0.2425445978074432,0.22549319857497427,0.20938668962947446,0.19420071960973256,0.1799095806718515,0.16648591509830585,0.15390062837254548
C1.5,0,0.07018851947211256,0.08018338387464287,0.09158907578337432,0.10459772549544855,0.11942407669465382,0.13630643550262297,0.15550677493123005,0.17730950636687345,0.20201825521114944,0.22994977112270215,0.26142387789134786,0.29674815514071656,0.33619590244637143,0.3799759622487553,0.42819331195266946,0.4808001597833281,0.5375387901870259,0.5978797506482336,0.6609621380848681,0.7255463951965677,0.7899933546600538,0.8522849288379499,0.9101001504201793,0.960953763190851,1.0023929054680694,1.0322323220856462,1.0487940162519611,1.0511087423867,1.0390388742351417,1.0132962231599312,0.9753508738630974,0.9272508937182249,0.8713901148487597,0.8102672123143153,0.7462738077041485,0.6815361214918355,0.6178192392397468,0.5564899959156373,0.49852628289896256,0.4445574750254307,0.3949214498733733,0.3497266347557052,0.30891117939240853,0.27229473044733293,0.23962090611925876,0.2105903362797343,0.18488515689247517,0.1621863169898855,0.14218516339194753,0.12459066779498472,0.10913346283605714,0.09556762784134104,0.08367095014400869,0.07324420235742306,0.0641098254257588,0.056110290366419555,0.04910632390824807,0.04297511927080472,0.03760860785047338,0.03291183600667626,0.02880146975854115
C1.5,1,0.24623725651398426,0.28350538963939736,0.32589079301545365,0.3739059919901407,0.42804825233597976,0.48877220545485334,0.5564545735222491,0.6313507451534551,0.7135438775638503,0.8028885486812903,0.8989527261209975,1.000963804478738,1.1077663598204268,1.2178005705875423,1.329110328678904,1.4393883248300918,1.5460615335033296,1.6464147774807634,1.7377433333474093,1.8175193350476684,1.8835527208875178,1.9341269483375862,1.9680930854418017,1.9849125093463325,1.9846467555239995,1.9679011429686857,1.9357349181193284,1.889553700649826,1.8309996898342007,1.7618519233026562,1.6839440029323387,1.5991015183985529,1.5090971815950396,1.4156192384529362,1.3202482160108207,1.2244380831035235,1.1294997084625542,1.0365863157937412,0.9466819026340202,0.8605940773514544,0.7789525469561287,0.7022138144187604,0.6306718250390215,0.5644735890588966,0.5036383479827307,0.44807868318935645,0.3976220472141242,0.3520314504891067,0.3110243725842026,0.27428931468114176,0.241499720014404,0.21232523553338817,0.1864404638306233,0.1635314644342505,0.1433003193368524,0.12546809271129797,0.10977650210571352,0.09598858892308025,0.08388863805205662,0.07328155605215078,0.0639918781599852
S1.1,0,0.001194354672912438,0.001542615389415088,0.0019925594145109755,0.0025739033339178953,0.003325048573020492,0.004295614430665214,0.0055497048665691835,0.0071701177342840955,0.009263761749213784,0.011968616483053748,0.015462655841211752,0.019975256640542026,0.025801729756376783,0.03332173627476649,0.043022471656506724,0.05552758955709607,0.07163284224072264,0.09234924583956575,0.11895408327725257,0.15304898870627937,0.19662233435372975,0.2521096114652859,0.32243972833230394,0.411046310253541,0.5218105584886467,0.6588863425975348,0.8263417184414832,1.0275415035516038,1.2642078983592802,1.5351536906097563,1.8348105765896656,2.1518802082515878,2.468669132367709,2.7617946517899705,3.004768589493823,3.172356673318565,3.2457265068211827,3.216725191721063,3.089703894209223,2.880231681283163,2.611303018662827,2.308504470687804,1.9956758551348008,1.692037482245941,1.411008136001782,1.160385592217361,0.9433365784931831,0.7596809869218752,0.6071184928533507,0.48222096417173443,0.38114400047838337,0.30008456487033236,0.23554113655826772,0.18443569507261154,0.1441474266065758,0.11249519665606274,0.08769396527397286,0.06830101599454448,0.05316125879616545,0.04135649714702413,0.032160833078296834
S1.1,1,0.06275338973801324,0.0727270703036719,0.08427191034622654,0.09761977289812782,0.11302939227751604,0.13078642542233185,0.1512020338209305,0.17460936148193396,0.20135712737213057,0.2317994174243489,0.2662806779229344,0.3051149352052142,0.3485584752722836,0.39677570994048905,0.449798838258279,0.5074832621482732,0.5694625334196214,0.6351087422538292,0.7035063225488137,0.7734485963779278,0.843466148265611,0.9118934578067955,0.9769746690486801,1.0370013357029242,1.0904660136124256,1.1362082590497276,1.173526784419065,1.2022351408234901,1.2226482330730344,1.2355007835279461,1.241812572838207,1.242724992322403,1.239336854289491,1.2325645366311238,1.2230442824878436,1.2110854849842454,1.1966753294326282,1.179528511636161,1.1591711944302545,1.1350456509170912,1.1066208578715266,1.0734945517133359,1.0354740452177436,0.9926264863889692,0.945293966008032,0.8940742537673565,0.8397729548312391,0.7833365176349684,0.7257771256329932,0.6680999654101608,0.6112411206441626,0.5560211722512662,0.5031163181161153,0.45304610504136533,0.406175034450573,0.36272441261363025,0.3227907103764367,0.2863671249987696,0.2533657413766771,0.2236384655638286,0.19699561424008089
S1.10,0,0.01416638275981141,0.01747722109370286,0.02155427552426677,0.026570919462941614,0.03273769611259764,0.04030920864549192,0.049591708842226856,0.060951110973321454,0.07482090372227138,0.0917090521762794,0.11220243424243595,0.13696660358659302,0.166737695563726,0.20230212530362576,0.2444585034184265,0.29395523189716916,0.35139713523269067,0.4171161787532493,0.4910061046233026,0.5723300017124809,0.6595240738430471,0.7500389159383047,0.840276759790782,0.9256905350821624,1.0010968336684696,1.0612116902043287,1.1013488547151657,1.1181460994589307,1.1101409959040096,1.078034567297008,1.0245639354398282,0.954022420041293,0.8715658245599585,0.7824854235026361,0.6916032244601767,0.602877359165658,0.5192311020604646,0.4425652947664866,0.3738902387012321,0.3135142642747469,0.26124107144786257,0.21654641800362917,0.17872062697826158,0.14697436961615706,0.12051139316789092,0.09857450065770122,0.08047149782028838,0.0655870791940713,0.05338544601129556,0.043407238053113334,0.035263309989460784,0.028627051162037898,0.02322633091965964,0.018835715997108024,0.015269311585783705,0.012374386273613222,0.010025822297264399,0.008121363191060993,0.0065775939665489655,0.005326572537893,0.0043130271574074106
